Player,Year,Matches,Wins,Losses,Win%,Ace%,DF%,1stIn,1st%,2nd%,SPW%,RPW%,TPW%,DomRatio
Rainer Schuettler,2000,40,18,22,0.45,0.04760393525864805,0.04252618216439226,0.5652173913043478,0.6984839977540708,0,0.6175817200888607,0.3912101516558341,0,1.0229901974004427
Karim Alami,2000,49,21,28,0.42857142857142855,0.06486210418794688,0.047242083758937695,0.5605209397344229,0.7216400911161731,0,0.6248723186925434,0.36359051941502774,0,0.9692447066230421
David Sanchez,2000,7,3,4,0.42857142857142855,0.023255813953488372,0.026578073089700997,0.6411960132890365,0.6036269430051814,0,0.5465116279069767,0.4380952380952381,0,0.966056166056166
Olivier Rochus,2000,11,8,3,0.7272727272727273,0.024933214603739984,0.02315227070347284,0.6322350845948352,0.680281690140845,0,0.6179875333926982,0.40663176265270506,0,1.0644463157552164
Diego Nargiso,2000,10,8,2,0.8,0.08690330477356181,0.05507955936352509,0.554467564259486,0.7505518763796909,0,0.616891064871481,0.42021924482338613,0,1.0968662077338864
Stefano Tarallo,2000,2,1,1,0.5,0.04411764705882353,0.08088235294117647,0.6617647058823529,0.6444444444444445,0,0.5735294117647058,0.41605839416058393,0,0.9755852001006795
Stephane Huet,2000,20,5,15,0.25,0.057279236276849645,0.035202863961813845,0.5101431980906921,0.6888888888888889,0,0.5853221957040573,0.37492465340566605,0,0.9041348476372609
Alexander Popp,2000,19,9,10,0.47368421052631576,0.05982404692082111,0.06920821114369502,0.5953079178885631,0.7014778325123153,0,0.6093841642228739,0.3785377358490566,0,0.9690793387727349
Mikael Tillstrom,2000,32,16,16,0.5,0.06437598736176935,0.038704581358609796,0.6137440758293838,0.6975546975546976,0,0.6188783570300158,0.38552380952380955,0,1.0115505551443376
Juan Albert Viloca Puig,2000,5,2,3,0.4,0.024725274725274724,0.016483516483516484,0.6593406593406593,0.625,0,0.6043956043956044,0.3861111111111111,0,0.9760030864197531
Hicham Arazi,2000,56,31,25,0.5535714285714286,0.05607064017660044,0.026931567328918323,0.5834437086092715,0.6954218690881574,0,0.6178807947019868,0.3858695652173913,0,1.0098146334111973
Carlos Moya,2000,51,31,20,0.6078431372549019,0.06278962001853568,0.032205746061167745,0.5477293790546802,0.7347715736040609,0,0.6364689527340129,0.3826613842927057,0,1.0526236676910883
Nicolas Escude,2000,47,26,21,0.5531914893617021,0.0878076062639821,0.04725950782997763,0.5145413870246085,0.7478260869565218,0,0.6308724832214765,0.39606126914660833,0,1.0729659836880843
Roger Federer,2000,55,28,27,0.509090909090909,0.0825451418744626,0.04105760963026655,0.5851246775580395,0.7222630418809699,0,0.6386500429922614,0.3649247121346324,0,1.0098927786141045
Nicolas Thomann,2000,4,2,2,0.5,0.07191780821917808,0.0273972602739726,0.5616438356164384,0.7682926829268293,0,0.678082191780822,0.3333333333333333,0,1.0354609929078016
Richard Krajicek,2000,40,25,15,0.625,0.18332292317301688,0.042785758900687074,0.5808869456589631,0.8166666666666667,0,0.7020612117426608,0.3583260680034874,0,1.2026835112653735
Arnaud Clement,2000,55,30,25,0.5454545454545454,0.06424269462413562,0.03903635958063797,0.5804149007361142,0.6852421214450423,0,0.6107517287530672,0.3972727272727273,0,1.0206152643917688
Tim Henman,2000,75,53,22,0.7066666666666667,0.08788798920377867,0.04757085020242915,0.553306342780027,0.7728658536585366,0,0.6565452091767882,0.400974025974026,0,1.1674725078457888
Leander Paes,2000,8,3,5,0.375,0.056105610561056105,0.056105610561056105,0.6006600660066007,0.6758241758241759,0,0.6122112211221122,0.3191126279863481,0,0.8229032023818168
Leos Friedl,2000,3,1,2,0.3333333333333333,0.008928571428571428,0.03571428571428571,0.6116071428571429,0.6277372262773723,0,0.5892857142857143,0.4094488188976378,0,0.9969188634029442
Takao Suzuki,2000,2,1,1,0.5,0.07692307692307693,0.04395604395604396,0.6153846153846154,0.6964285714285714,0,0.5769230769230769,0.3732394366197183,0,0.8822023047375159
Kalle Flygt,2000,3,2,1,0.6666666666666666,0.036734693877551024,0.044897959183673466,0.5469387755102041,0.6343283582089553,0,0.5836734693877551,0.375,0,0.9007352941176471
Cecil Mamiit,2000,18,6,12,0.3333333333333333,0.04084720121028744,0.037065052950075644,0.5423600605143721,0.6750348675034867,0,0.5885022692889561,0.3776223776223776,0,0.917677910324969
Yong Il Yoon,2000,3,2,1,0.6666666666666666,0.05363984674329502,0.022988505747126436,0.5708812260536399,0.6912751677852349,0,0.5900383141762452,0.4117647058823529,0,1.0043980208905992
Eric Taino,2000,7,3,4,0.42857142857142855,0.0397196261682243,0.016355140186915886,0.5584112149532711,0.6694560669456067,0,0.6051401869158879,0.348993288590604,0,0.8838409912235416
